"crypto_name","count(trade_date)"
"","158849"
" Governance","84"
" HBZ coin","449"
" Maxcoin","1730"
" Token","704"
"#MetaHash","602"
"01coin","42"
"0cash","209"
"0chain","838"
"0x","1158"
"0xBitcoin","852"
"0xcert","817"
"12Ships","408"
"1AI Token","281"
"1Million Token","173"
"1SG","592"
"1World","916"
"1X Short Ethereum Token","85"
"1X2 COIN","524"
"1irstGold","323"
"1irstcoin","556"
"1x Long Bitcoin Implied Volatility Token","169"
"1x Short Bitcoin Token","142"
"2GIVE","1607"
"2key.network","157"
"3DCoin","276"
"3X Long Algorand Token","85"
"3X Long Altcoin Index Token","84"
"3X Long BNB Token","221"
"3X Long BitMax Token Token","85"
"3X Long Bitcoin Token","274"
"3X Long Cardano Token","85"
"3X Long Chainlink Token","85"
"3X Long Cosmos Token","84"
"3X Long Dogecoin Token","83"
"3X Long Dragon Index Token","85"
"3X Long Ethereum Classic Token","85"
"3X Long Ethereum Token","254"
"3X Long Huobi Token Token","85"
"3X Long Matic Token","85"
"3X Long Midcap Index Token","84"
"3X Long OKB Token","84"
"3X Long Shitcoin Index Token","84"
"3X Long Sushi Token","42"
"3X Long TRX Token","206"
"3X Long Tether Gold Token","76"
"3X Long TomoChain Token","85"
"3X Short Algorand Token","85"
"3X Short BNB Token","222"
"3X Short Bitcoin Token","276"
"3X Short Cardano Token","84"
"3X Short Chainlink Token","85"
"3X Short Cosmos Token","86"
"3X Short Dogecoin Token","84"
"3X Short Ethereum Classic Token","84"
"3X Short Ethereum Token","255"
"3X Short Matic Token","84"
"3X Short Sushi Token","42"
"3X Short TRX Token","204"
"3X Short Tether Gold Token","76"
"3X Short TomoChain Token","85"
"3x Long Bitcoin Cash Token","185"
"3x Long Bitcoin SV Token","185"
"3x Long EOS Token","186"
"3x Long Litecoin Token","184"
"3x Long Tezos Token","179"
"3x Long XRP Token","186"
"3x Short Bitcoin Cash Token","184"
"3x Short Bitcoin SV Token","185"
"3x Short EOS Token","186"
"3x Short Litecoin Token","185"
"3x Short Tezos Token","180"
"3x Short XRP Token","186"
"42-coin","1709"
"4ART Coin","85"
"4NEW","774"
"4THPILLAR TECHNOLOGIES","87"
"7Eleven","360"
"888tron","79"
"8X8 PROTOCOL","157"
"999","302"
"AAX Token","179"
"ABBC Coin","727"
"ABCC Token","551"
"AC3","879"
"ACChain","638"
"ACE","85"
"ACE (TokenStars)","1016"
"ACoconut","14"
"ADADOWN","48"
"ADAMANT Messenger","633"
"ADAUP","48"
"AEN Smart Token","88"
"AERUM","151"
"AGA Token","76"
"AI Crypto","84"
"AI Doctor","1005"
"AICHAIN","993"
"AICON","84"
"AIDUS TOKEN","577"
"AK12","166"
"ALA","202"
"ALAX","830"
"ALBOS","315"
"ALIS","837"
"ALL BEST ICO","319"
"ALLCOIN","277"
"ALLUVA","296"
"ALLY","87"
"ALP Coin","362"
"ALQO","1057"
"AMATEN","185"
"AML Bitcoin","89"
"AMLT","925"
"AMO Coin","742"
"ANON","743"
"AOS","89"
"APEcoin","21"
"APIS","620"
"APIX","241"
"APR Coin","879"
"ARAW","567"
"ARBITRAGE","237"
"ARCS","261"
"ARMTOKEN","164"
"ARPA Chain","451"
"ARbit","1484"
"AS Roma Fan Token","84"
"ASD","625"
"ASKO","85"
"ASTA","76"
"ASYAGRO","171"
"ATBCoin","1121"
"ATC Coin","940"
"ATLANT","1074"
"ATMChain","1032"
"ATN","1000"
"ATTN","52"
"AVCCOIN","78"
"AVINOC","425"
"AXE","523"
"AXEL","73"
"AXPR","179"
"AZBI CORE","61"
"Aave","452"
"Aavegotchi","26"
"Aavegotchi GHST Token","6"
"Abitshadow Token","179"
"Absolute","667"
"Abulaba","749"
"Abyss","479"
"Acash Coin","220"
"AceD","804"
"Aces","1296"
"Achain","1115"
"Acoin","1348"
"Actinium","735"
"Acuity Token","21"
"Acute Angle Cloud","997"
"AdCoin","796"
"AdEx Network","1201"
"AdHive","890"
"AdShares","1149"
"Add.xyz","21"
"Adelphoi","933"
"Aditus","898"
"AdsByWiFi","209"
"AdultChain","464"
"Advanced Internet Blocks","1622"
"Advanced Technology Coin","1457"
"Adzcoin","1749"
"Aegeus","491"
"Aeon","1747"
"Aergo","666"
"Aeron","1066"
"Aerotoken","330"
"Aeryus","87"
"Aeternity","1229"
"Affil Coin","183"
"Afri Union Coin","75"
"AfroDex","153"
"AgaveCoin","568"
"Agora","369"
"Agoras Tokens","579"
"Agrello","1128"
"Agrocoin","405"
"Agrolot","670"
"AiLink Token","759"
"AidCoin","987"
"Aidos Kuneen","1114"
"Aigang","996"
"Aion","1086"
"AirSwap","1094"
"AirWire","721"
"Airbloc","787"
"Airline & Life Networking Token","327"
"Aitheon","391"
"Aitra","21"
"Akash Network","6"
"Akroma","790"
